census_tract,assoc_degree,bach_degree,grad_or_pro_degree,hs_diploma_or_ged,less_than_9th,some_college,some_hs
140702,2.67%,15.90%,6.67%,20.00%,0.1528,9.47%,8.03%
140800,3.48%,24.10%,15.40%,15.20%,0.0698,10.70%,6.02%
150200,7.67%,20.20%,9.74%,16.20%,0.0299,19.00%,3.47%
150300,5.32%,17.70%,13.50%,17.30%,0.014,9.85%,2.22%
150401,5.62%,15.70%,5.62%,25.60%,0.0308,13.10%,4.43%
150402,8.37%,18.10%,6.29%,20.00%,0.0507,12.00%,2.86%
150501,11.00%,18.40%,6.53%,18.90%,0.0285,12.40%,1.42%
150502,8.19%,14.30%,9.50%,19.20%,0.0248,19.20%,2.82%
150600,5.23%,13.10%,6.03%,23.50%,0.0343,17.50%,2.20%
150700,5.47%,12.80%,9.08%,17.80%,0.0204,16.30%,4.37%
150800,4.21%,13.50%,8.46%,15.70%,0.1206,13.60%,9.78%
151001,8.06%,12.40%,3.75%,19.50%,0.0878,14.30%,8.11%
151002,5.56%,10.80%,3.13%,18.60%,0.0952,17.40%,10.50%
151100,6.06%,10.10%,3.68%,22.30%,0.0605,13.20%,11.80%
151200,3.73%,13.20%,3.49%,25.10%,0.0275,15.50%,5.76%
160100,5.97%,23.40%,9.09%,20.90%,0.0322,16.20%,3.17%
160200,3.37%,22.30%,20.60%,9.88%,0.004,15.90%,2.77%
160300,5.81%,26.60%,11.70%,16.20%,0.0187,15.70%,0.88%
160400,5.11%,20.70%,8.64%,17.40%,0.0653,15.80%,5.03%
160501,4.31%,17.30%,6.70%,20.00%,0.1071,10.60%,4.77%
160502,3.09%,16.20%,7.15%,21.00%,0.0888,13.80%,4.83%
160601,5.37%,24.60%,14.70%,7.66%,0.0233,15.40%,8.36%
160602,4.81%,23.50%,10.20%,13.60%,0.08,15.30%,4.56%
160700,4.15%,22.90%,10.90%,16.80%,0.0819,12.70%,3.04%
160800,5.38%,19.60%,6.80%,16.30%,0.0659,16.20%,4.19%
160900,9.17%,24.60%,17.30%,14.10%,0,11.00%,1.08%
161000,3.93%,23.30%,16.00%,12.40%,0.0045,19.10%,2.90%
161100,3.43%,29.70%,23.70%,9.82%,0.0147,11.90%,1.89%
161200,1.69%,19.20%,7.33%,23.50%,0.0944,12.00%,3.95%
161300,6.98%,13.80%,4.61%,27.10%,0.0925,9.52%,4.16%
170100,3.01%,9.90%,7.73%,14.50%,0.0082,16.10%,2.12%
170200,5.30%,11.60%,6.66%,19.80%,0.0451,18.50%,3.04%
170300,9.46%,13.90%,6.60%,24.90%,0.0329,10.20%,3.22%
170400,4.89%,15.40%,4.06%,23.90%,0.0148,17.10%,5.12%
170500,9.05%,15.60%,3.66%,19.60%,0.0152,19.70%,1.63%
170600,8.43%,12.70%,4.20%,18.90%,0.0038,17.80%,5.92%
170700,6.30%,14.60%,5.34%,21.70%,0.0263,17.60%,3.28%
170800,7.29%,12.00%,5.46%,28.50%,0.0349,16.80%,3.88%
170900,2.56%,10.20%,7.48%,22.40%,0.0168,16.80%,9.75%
171000,6.73%,11.20%,4.76%,17.30%,0.0155,22.00%,5.34%
171100,6.30%,15.00%,7.03%,19.40%,0.0265,16.60%,4.58%
180100,7.14%,8.38%,6.34%,24.40%,0.0284,16.70%,8.74%
190100,3.82%,7.48%,3.06%,21.90%,0.1598,13.10%,7.38%
190200,5.21%,8.79%,3.72%,17.20%,0.147,11.00%,11.60%
190300,3.09%,7.95%,2.54%,25.00%,0.0974,13.40%,9.10%
190401,6.66%,13.80%,4.79%,23.40%,0.0605,9.87%,5.41%
190402,4.23%,9.22%,3.00%,21.50%,0.1145,14.20%,9.82%
190601,6.66%,7.21%,4.74%,26.40%,0.1143,11.30%,8.00%
190602,2.66%,5.72%,2.15%,24.30%,0.1585,11.50%,8.52%
190701,6.61%,6.84%,3.33%,29.90%,0.0908,13.20%,10.30%
190702,3.59%,5.63%,1.65%,18.40%,0.2059,9.83%,13.00%
190800,3.75%,6.50%,4.08%,20.20%,0.1797,12.20%,10.40%
190900,3.72%,4.20%,2.58%,25.00%,0.0951,10.40%,11.10%
191000,7.39%,6.07%,0.00%,20.70%,0.1831,11.80%,9.26%
191100,2.94%,3.48%,1.81%,26.10%,0.1899,10.30%,10.10%
191200,2.46%,3.12%,1.04%,16.30%,0.2584,10.30%,16.50%
191301,3.00%,8.16%,1.12%,20.90%,0.0854,8.48%,21.70%
191302,3.11%,4.50%,1.58%,22.10%,0.1395,14.20%,15.20%
200100,3.21%,11.20%,6.32%,20.50%,0.1331,13.00%,6.90%
200200,3.84%,5.60%,3.12%,24.40%,0.1142,14.50%,8.00%
200300,5.22%,4.15%,2.74%,18.60%,0.1536,13.00%,11.00%
200401,4.08%,4.56%,2.35%,13.20%,0.2173,12.50%,21.30%
200402,5.31%,9.57%,3.47%,13.90%,0.137,14.80%,6.73%
210100,3.37%,31.90%,12.50%,13.70%,0.0348,11.30%,6.89%
210400,3.91%,14.00%,3.31%,20.40%,0.1183,12.10%,5.23%
210501,4.21%,11.70%,10.10%,15.60%,0.1582,13.30%,10.30%
210502,2.50%,12.90%,7.33%,23.40%,0.0973,15.30%,5.25%
210601,4.25%,17.10%,6.81%,14.70%,0.1528,11.20%,5.99%
210602,4.86%,15.20%,13.00%,19.60%,0.0569,11.30%,4.30%
210700,7.06%,18.80%,11.40%,17.80%,0.0718,8.17%,7.73%
210800,2.54%,22.10%,12.60%,16.00%,0.0912,10.10%,3.07%
210900,4.66%,29.70%,11.40%,17.20%,0.0471,6.80%,2.51%
220300,3.57%,35.80%,19.80%,7.59%,0.0401,12.30%,0.96%
220400,2.01%,32.50%,18.50%,12.20%,0.0151,11.00%,2.46%
