geoid,name,,,In Labor Force,,Civilian Labor Force,,Employed,,unemployed,,Armed Forces,,Not in Labor Force
14000US39013012400,"Census Tract 124, Belmont, OH",,,2193,,2193,,2065,,128,,0,,1635
14000US39015951201,"Census Tract 9512.01, Brown, OH",,,2296,,2296,,2198,,98,,0,,1259
14000US39015951202,"Census Tract 9512.02, Brown, OH",,,2122,,2122,,1956,,166,,0,,1611
14000US39015951300,"Census Tract 9513, Brown, OH",,,3727,,3727,,3571,,156,,0,,2196
14000US39015951400,"Census Tract 9514, Brown, OH",,,1853,,1853,,1715,,138,,0,,1427
14000US39015951500,"Census Tract 9515, Brown, OH",,,2561,,2561,,2441,,120,,0,,1796
14000US39015951600,"Census Tract 9516, Brown, OH",,,1480,,1480,,1357,,123,,0,,1468
14000US39015951700,"Census Tract 9517, Brown, OH",,,1374,,1374,,1286,,88,,0,,838
14000US39015951800,"Census Tract 9518, Brown, OH",,,1964,,1964,,1785,,179,,0,,1956
14000US39015951900,"Census Tract 9519, Brown, OH",,,3101,,3081,,2813,,268,,20,,1830
14000US39017000100,"Census Tract 1, Butler, OH",,,2385,,2385,,2297,,88,,0,,1390
14000US39017000200,"Census Tract 2, Butler, OH",,,2399,,2399,,2142,,257,,0,,1056
14000US39017000300,"Census Tract 3, Butler, OH",,,1618,,1618,,1282,,336,,0,,849
14000US39017000400,"Census Tract 4, Butler, OH",,,1660,,1660,,1429,,231,,0,,1722
14000US39017000500,"Census Tract 5, Butler, OH",,,2050,,2050,,1778,,272,,0,,1453
14000US39017000600,"Census Tract 6, Butler, OH",,,2465,,2465,,2108,,357,,0,,1382
14000US39017001001,"Census Tract 10.01, Butler, OH",,,1899,,1899,,1777,,122,,0,,2094
14000US39017001002,"Census Tract 10.02, Butler, OH",,,2337,,2337,,2246,,91,,0,,1851
14000US39017001100,"Census Tract 11, Butler, OH",,,2004,,2004,,1835,,169,,0,,1387
14000US39017001300,"Census Tract 13, Butler, OH",,,2396,,2396,,2224,,172,,0,,1312
14000US39017010101,"Census Tract 101.01, Butler, OH",,,2901,,2901,,2865,,36,,0,,4148
14000US39017010102,"Census Tract 101.02, Butler, OH",,,1433,,1433,,1362,,71,,0,,1076
14000US39017010103,"Census Tract 101.03, Butler, OH",,,3125,,3078,,3000,,78,,47,,2219
14000US39017010104,"Census Tract 101.04, Butler, OH",,,1942,,1939,,1764,,175,,3,,3000
14000US39017010201,"Census Tract 102.01, Butler, OH",,,637,,637,,608,,29,,0,,1478
14000US39017010202,"Census Tract 102.02, Butler, OH",,,2359,,2359,,2276,,83,,0,,1035
14000US39017010203,"Census Tract 102.03, Butler, OH",,,2947,,2947,,2791,,156,,0,,1240
14000US39017010301,"Census Tract 103.01, Butler, OH",,,2416,,2416,,2294,,122,,0,,1437
14000US39017010302,"Census Tract 103.02, Butler, OH",,,1922,,1922,,1872,,50,,0,,1046
14000US39017010500,"Census Tract 105, Butler, OH",,,1101,,1101,,983,,118,,0,,684
14000US39017010600,"Census Tract 106, Butler, OH",,,1805,,1805,,1695,,110,,0,,1200
14000US39017010800,"Census Tract 108, Butler, OH",,,3194,,3194,,3112,,82,,0,,1816
14000US39017010901,"Census Tract 109.01, Butler, OH",,,2225,,2225,,2083,,142,,0,,1312
14000US39017010903,"Census Tract 109.03, Butler, OH",,,2948,,2948,,2863,,85,,0,,991
14000US39017010904,"Census Tract 109.04, Butler, OH",,,1774,,1774,,1713,,61,,0,,984
14000US39017010906,"Census Tract 109.06, Butler, OH",,,4177,,4177,,3909,,268,,0,,1874
14000US39017010907,"Census Tract 109.07, Butler, OH",,,1496,,1496,,1432,,64,,0,,560
14000US39017010908,"Census Tract 109.08, Butler, OH",,,3471,,3471,,3250,,221,,0,,1077
14000US39017010909,"Census Tract 109.09, Butler, OH",,,3165,,3145,,2944,,201,,20,,1107
14000US39017010910,"Census Tract 109.10, Butler, OH",,,2517,,2517,,2442,,75,,0,,1339
14000US39017010911,"Census Tract 109.11, Butler, OH",,,2211,,2211,,2109,,102,,0,,845
14000US39017011002,"Census Tract 110.02, Butler, OH",,,6998,,6998,,6914,,84,,0,,2990
14000US39017011003,"Census Tract 110.03, Butler, OH",,,3798,,3798,,3688,,110,,0,,1526
14000US39017011004,"Census Tract 110.04, Butler, OH",,,2903,,2888,,2594,,294,,15,,1424
14000US39017011109,"Census Tract 111.09, Butler, OH",,,2455,,2455,,2322,,133,,0,,1102
14000US39017011110,"Census Tract 111.10, Butler, OH",,,3083,,3083,,2978,,105,,0,,1288
14000US39017011111,"Census Tract 111.11, Butler, OH",,,3623,,3623,,3548,,75,,0,,1806
14000US39017011112,"Census Tract 111.12, Butler, OH",,,3031,,3031,,2959,,72,,0,,1342
14000US39017011116,"Census Tract 111.16, Butler, OH",,,4346,,4346,,4294,,52,,0,,2095
14000US39017011117,"Census Tract 111.17, Butler, OH",,,6049,,6049,,5866,,183,,0,,2201
14000US39017011118,"Census Tract 111.18, Butler, OH",,,1601,,1601,,1583,,18,,0,,1086
14000US39017011120,"Census Tract 111.20, Butler, OH",,,3748,,3748,,3651,,97,,0,,1416
14000US39017011121,"Census Tract 111.21, Butler, OH",,,4454,,4454,,4349,,105,,0,,1312
14000US39017011122,"Census Tract 111.22, Butler, OH",,,3128,,3128,,3012,,116,,0,,1111
14000US39017011123,"Census Tract 111.23, Butler, OH",,,2585,,2585,,2427,,158,,0,,932
14000US39017011125,"Census Tract 111.25, Butler, OH",,,2167,,2167,,2117,,50,,0,,1126
14000US39017011126,"Census Tract 111.26, Butler, OH",,,2949,,2949,,2920,,29,,0,,1134
14000US39017011127,"Census Tract 111.27, Butler, OH",,,2681,,2681,,2577,,104,,0,,990
14000US39017011128,"Census Tract 111.28, Butler, OH",,,1765,,1765,,1680,,85,,0,,719
14000US39017011129,"Census Tract 111.29, Butler, OH",,,2237,,2237,,2170,,67,,0,,805
14000US39017011130,"Census Tract 111.30, Butler, OH",,,2658,,2658,,2597,,61,,0,,1372
14000US39017011131,"Census Tract 111.31, Butler, OH",,,1729,,1729,,1630,,99,,0,,755
14000US39017011200,"Census Tract 112, Butler, OH",,,4239,,4239,,3981,,258,,0,,1961
14000US39017011300,"Census Tract 113, Butler, OH",,,2725,,2725,,2687,,38,,0,,1370
14000US39017011800,"Census Tract 118, Butler, OH",,,3175,,3175,,3028,,147,,0,,1428
14000US39017012100,"Census Tract 121, Butler, OH",,,1484,,1484,,1384,,100,,0,,1072
14000US39017012200,"Census Tract 122, Butler, OH",,,1549,,1549,,1281,,268,,0,,1139
14000US39017012300,"Census Tract 123, Butler, OH",,,1146,,1146,,1039,,107,,0,,539
14000US39017012400,"Census Tract 124, Butler, OH",,,1174,,1174,,1138,,36,,0,,906
14000US39017012500,"Census Tract 125, Butler, OH",,,2520,,2520,,2357,,163,,0,,1582
14000US39017012600,"Census Tract 126, Butler, OH",,,1407,,1407,,1196,,211,,0,,752
14000US39017012700,"Census Tract 127, Butler, OH",,,1599,,1599,,1531,,68,,0,,787
14000US39017013000,"Census Tract 130, Butler, OH",,,659,,659,,539,,120,,0,,414
14000US39017013100,"Census Tract 131, Butler, OH",,,821,,821,,763,,58,,0,,692
14000US39017013200,"Census Tract 132, Butler, OH",,,1540,,1540,,1350,,190,,0,,976
14000US39017013300,"Census Tract 133, Butler, OH",,,1001,,1001,,975,,26,,0,,687
14000US39017013400,"Census Tract 134, Butler, OH",,,1123,,1123,,1013,,110,,0,,665
14000US39017013500,"Census Tract 135, Butler, OH",,,1351,,1351,,1221,,130,,0,,845
14000US39017013600,"Census Tract 136, Butler, OH",,,2723,,2723,,2413,,310,,0,,1459
14000US39017013900,"Census Tract 139, Butler, OH",,,1263,,1263,,1040,,223,,0,,770
14000US39017014000,"Census Tract 140, Butler, OH",,,852,,852,,703,,149,,0,,795
14000US39017014100,"Census Tract 141, Butler, OH",,,978,,978,,869,,109,,0,,592
14000US39017014300,"Census Tract 143, Butler, OH",,,2282,,2282,,2174,,108,,0,,1578
14000US39017014400,"Census Tract 144, Butler, OH",,,605,,605,,535,,70,,0,,732
14000US39017014600,"Census Tract 146, Butler, OH",,,388,,388,,318,,70,,0,,585
14000US39017014700,"Census Tract 147, Butler, OH",,,2150,,2150,,1942,,208,,0,,1040
14000US39017014800,"Census Tract 148, Butler, OH",,,3361,,3361,,3250,,111,,0,,2400
14000US39017014900,"Census Tract 149, Butler, OH",,,2776,,2776,,2654,,122,,0,,1240
14000US39017015000,"Census Tract 150, Butler, OH",,,3755,,3755,,3693,,62,,0,,2249
14000US39017015100,"Census Tract 151, Butler, OH",,,3732,,3732,,3430,,302,,0,,1458
14000US39019720100,"Census Tract 7201, Carroll, OH",,,1549,,1549,,1429,,120,,0,,1239
14000US39019720200,"Census Tract 7202, Carroll, OH",,,1631,,1631,,1605,,26,,0,,1225
14000US39019720300,"Census Tract 7203, Carroll, OH",,,2788,,2788,,2603,,185,,0,,1490
14000US39019720400,"Census Tract 7204, Carroll, OH",,,1992,,1992,,1899,,93,,0,,1481
14000US39019720500,"Census Tract 7205, Carroll, OH",,,2472,,2472,,2406,,66,,0,,1893
14000US39019720600,"Census Tract 7206, Carroll, OH",,,1418,,1418,,1362,,56,,0,,1018
14000US39019720700,"Census Tract 7207, Carroll, OH",,,1409,,1409,,1333,,76,,0,,1160
14000US39021010100,"Census Tract 101, Champaign, OH",,,1017,,1011,,945,,66,,6,,489
14000US39021010200,"Census Tract 102, Champaign, OH",,,3827,,3827,,3502,,325,,0,,1691
14000US39021010400,"Census Tract 104, Champaign, OH",,,1811,,1811,,1628,,183,,0,,1253
14000US39021010500,"Census Tract 105, Champaign, OH",,,2063,,2063,,1852,,211,,0,,1330
14000US39021010600,"Census Tract 106, Champaign, OH",,,1716,,1716,,1614,,102,,0,,1510
14000US39021011001,"Census Tract 110.01, Champaign, OH",,,1238,,1238,,1165,,73,,0,,903
14000US39021011501,"Census Tract 115.01, Champaign, OH",,,2110,,2110,,1985,,125,,0,,1236
14000US39021011504,"Census Tract 115.04, Champaign, OH",,,2610,,2610,,2396,,214,,0,,1713
14000US39021011505,"Census Tract 115.05, Champaign, OH",,,1709,,1709,,1636,,73,,0,,910
14000US39021011506,"Census Tract 115.06, Champaign, OH",,,1444,,1444,,1396,,48,,0,,707
14000US39023000200,"Census Tract 2, Clark, OH",,,767,,767,,675,,92,,0,,348
14000US39023000300,"Census Tract 3, Clark, OH",,,608,,608,,475,,133,,0,,534
14000US39023000400,"Census Tract 4, Clark, OH",,,1058,,1058,,958,,100,,0,,725
14000US39023000500,"Census Tract 5, Clark, OH",,,576,,576,,438,,138,,0,,403
14000US39023000600,"Census Tract 6, Clark, OH",,,1289,,1289,,1155,,134,,0,,609
14000US39023000700,"Census Tract 7, Clark, OH",,,1593,,1593,,1460,,133,,0,,830
14000US39023000901,"Census Tract 9.01, Clark, OH",,,1017,,1017,,742,,275,,0,,708
14000US39023000902,"Census Tract 9.02, Clark, OH",,,697,,697,,590,,107,,0,,275
14000US39023001000,"Census Tract 10, Clark, OH",,,699,,699,,657,,42,,0,,437
14000US39023001101,"Census Tract 11.01, Clark, OH",,,506,,506,,448,,58,,0,,353
14000US39023001102,"Census Tract 11.02, Clark, OH",,,1248,,1248,,1133,,115,,0,,1018
14000US39023001200,"Census Tract 12, Clark, OH",,,1789,,1789,,1462,,327,,0,,1195
14000US39023001300,"Census Tract 13, Clark, OH",,,1761,,1761,,1559,,202,,0,,1193
14000US39023001400,"Census Tract 14, Clark, OH",,,1938,,1938,,1822,,116,,0,,1253
14000US39023001500,"Census Tract 15, Clark, OH",,,2002,,2002,,1819,,183,,0,,1361
14000US39023001600,"Census Tract 16, Clark, OH",,,1979,,1979,,1809,,170,,0,,1318
14000US39023001700,"Census Tract 17, Clark, OH",,,1023,,1023,,871,,152,,0,,782
14000US39023001900,"Census Tract 19, Clark, OH",,,1467,,1467,,1363,,104,,0,,809
14000US39023002000,"Census Tract 20, Clark, OH",,,1193,,1193,,1135,,58,,0,,563
14000US39023002100,"Census Tract 21, Clark, OH",,,642,,631,,607,,24,,11,,802
14000US39023002200,"Census Tract 22, Clark, OH",,,2245,,2245,,2169,,76,,0,,1334
14000US39023002301,"Census Tract 23.01, Clark, OH",,,1615,,1615,,1490,,125,,0,,886
14000US39023002403,"Census Tract 24.03, Clark, OH",,,2047,,2047,,1928,,119,,0,,1167
14000US39023002404,"Census Tract 24.04, Clark, OH",,,1708,,1708,,1611,,97,,0,,1145
14000US39023002501,"Census Tract 25.01, Clark, OH",,,767,,767,,708,,59,,0,,1212
14000US39023002502,"Census Tract 25.02, Clark, OH",,,1603,,1603,,1523,,80,,0,,1070
14000US39023002601,"Census Tract 26.01, Clark, OH",,,1855,,1842,,1743,,99,,13,,1166
14000US39023002602,"Census Tract 26.02, Clark, OH",,,2014,,1994,,1897,,97,,20,,1148
14000US39023002605,"Census Tract 26.05, Clark, OH",,,1983,,1983,,1920,,63,,0,,1051
14000US39023002606,"Census Tract 26.06, Clark, OH",,,3783,,3783,,3611,,172,,0,,2505
14000US39023002701,"Census Tract 27.01, Clark, OH",,,1227,,1227,,1063,,164,,0,,929
14000US39023002702,"Census Tract 27.02, Clark, OH",,,1053,,1053,,988,,65,,0,,774
14000US39023002800,"Census Tract 28, Clark, OH",,,2405,,2405,,2284,,121,,0,,1382
14000US39023002901,"Census Tract 29.01, Clark, OH",,,1667,,1667,,1512,,155,,0,,899
14000US39023002902,"Census Tract 29.02, Clark, OH",,,2094,,2071,,1956,,115,,23,,1526
14000US39023003001,"Census Tract 30.01, Clark, OH",,,1557,,1557,,1498,,59,,0,,1066
14000US39023003002,"Census Tract 30.02, Clark, OH",,,1755,,1748,,1673,,75,,7,,1116
14000US39023003101,"Census Tract 31.01, Clark, OH",,,1384,,1384,,1306,,78,,0,,828
14000US39023003102,"Census Tract 31.02, Clark, OH",,,900,,900,,811,,89,,0,,635
