,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Unnamed: 2,Median Income,Median Income Error,Civilian Labor Force,Employed,Unemployed,% Change Pop,% Unemployment
21,14000US17031350100,"Census Tract 3501, Cook, IL",2239,219,2310,2144,17031350100,43548,4458,1340,1234,106,-3.0735930735930737,7.91044776119403
22,14000US17031351100,"Census Tract 3511, Cook, IL",2102,249,4734,1960,17031351100,10825,1725,678,459,219,-55.59780312632023,32.30088495575221
23,14000US17031351400,"Census Tract 3514, Cook, IL",1939,246,1405,1437,17031351400,13149,3095,904,534,370,38.00711743772242,40.929203539823014
24,14000US17031351500,"Census Tract 3515, Cook, IL",507,116,2215,255,17031351500,23700,4328,270,212,58,-77.11060948081264,21.48148148148148
25,14000US17031380100,"Census Tract 3801, Cook, IL",1932,293,1361,1924,17031380100,19328,3510,734,563,171,41.954445260837616,23.29700272479564
26,14000US17031380500,"Census Tract 3805, Cook, IL",800,168,1189,752,17031380500,19358,2473,353,249,104,-32.716568544995795,29.461756373937675
27,14000US17031381400,"Census Tract 3814, Cook, IL",1660,322,1354,1612,17031381400,38167,9105,863,746,117,22.599704579025108,13.557358053302435
28,14000US17031390300,"Census Tract 3903, Cook, IL",2830,455,2754,2743,17031390300,21769,5041,1294,1026,268,2.7596223674655045,20.71097372488408
29,14000US17031400300,"Census Tract 4003, Cook, IL",1347,201,1650,1567,17031400300,29417,16339,603,463,140,-18.363636363636363,23.217247097844112
30,14000US17031400400,"Census Tract 4004, Cook, IL",1886,360,1905,1955,17031400400,32310,3731,911,643,268,-0.9973753280839894,29.418221734357846
31,14000US17031400500,"Census Tract 4005, Cook, IL",1986,351,2508,2258,17031400500,24907,5633,803,588,215,-20.813397129186605,26.774595267745955
32,14000US17031400800,"Census Tract 4008, Cook, IL",2847,548,3515,2701,17031400800,20959,5430,1022,879,143,-19.004267425320055,13.992172211350292
33,14000US17031420500,"Census Tract 4205, Cook, IL",1704,446,3346,2624,17031420500,25781,11740,691,500,191,-49.073520621637776,27.641099855282196
34,14000US17031420600,"Census Tract 4206, Cook, IL",2017,239,3053,2219,17031420600,19801,8287,781,568,213,-33.93383557156895,27.27272727272727
35,14000US17031420700,"Census Tract 4207, Cook, IL",3269,502,4478,3261,17031420700,19042,4202,1060,696,364,-26.99866011612327,34.33962264150943
36,14000US17031420800,"Census Tract 4208, Cook, IL",2077,334,2564,2213,17031420800,35476,12567,905,790,115,-18.993759750390016,12.70718232044199
37,14000US17031430101,"Census Tract 4301.01, Cook, IL",3431,448,4808,3689,17031430101,32292,9093,1839,1451,388,-28.63976705490849,21.0984230560087
38,14000US17031430200,"Census Tract 4302, Cook, IL",4866,723,5332,4680,17031430200,22419,6501,2091,1746,345,-8.739684921230308,16.49928263988522
39,14000US17031430300,"Census Tract 4303, Cook, IL",2391,307,2900,2336,17031430300,15902,3494,748,550,198,-17.551724137931036,26.47058823529412
40,14000US17031430400,"Census Tract 4304, Cook, IL",2934,530,3452,2892,17031430400,15469,11139,1122,896,226,-15.005793742757822,20.14260249554367
41,14000US17031430600,"Census Tract 4306, Cook, IL",1732,277,1955,1665,17031430600,23300,7667,778,662,116,-11.406649616368286,14.910025706940875
42,14000US17031430900,"Census Tract 4309, Cook, IL",1356,195,1886,1814,17031430900,34286,18412,590,499,91,-28.101802757158005,15.423728813559324
43,14000US17031431301,"Census Tract 4313.01, Cook, IL",3319,561,4843,3545,17031431301,20625,4817,1483,1025,458,-31.468098286186247,30.883344571813893
44,14000US17031431302,"Census Tract 4313.02, Cook, IL",4161,684,4964,4166,17031431302,19756,9641,1833,1361,472,-16.176470588235293,25.750136388434257
45,14000US17031440201,"Census Tract 4402.01, Cook, IL",4805,780,5748,5060,17031440201,32143,10924,2454,1945,509,-16.40570633263744,20.741646291768543
46,14000US17031460100,"Census Tract 4601, Cook, IL",3133,543,4720,3405,17031460100,31094,4270,1570,1112,458,-33.62288135593221,29.17197452229299
47,14000US17031460200,"Census Tract 4602, Cook, IL",2678,414,3411,2385,17031460200,27925,6734,1232,1028,204,-21.489299325710938,16.558441558441558
48,14000US17031460301,"Census Tract 4603.01, Cook, IL",2917,414,4363,3404,17031460301,36182,11389,1347,1108,239,-33.142333256933306,17.743132887899034
49,14000US17031460302,"Census Tract 4603.02, Cook, IL",3468,435,4520,3803,17031460302,23345,3719,1439,986,453,-23.27433628318584,31.480194579569144
50,14000US17031460400,"Census Tract 4604, Cook, IL",3458,577,4205,3705,17031460400,39151,10392,1511,1310,201,-17.764565992865634,13.302448709463931
51,14000US17031460500,"Census Tract 4605, Cook, IL",4816,664,6976,5789,17031460500,37168,6733,2589,2243,346,-30.963302752293576,13.36423329470838
52,14000US17031470100,"Census Tract 4701, Cook, IL",2254,430,3278,2916,17031470100,24821,9035,1116,867,249,-31.2385600976205,22.311827956989248
53,14000US17031490901,"Census Tract 4909.01, Cook, IL",3768,575,4822,3891,17031490901,39750,7287,1901,1404,497,-21.85815014516798,26.14413466596528
54,14000US17031491300,"Census Tract 4913, Cook, IL",2465,426,3825,2886,17031491300,25912,3592,1017,674,343,-35.55555555555556,33.726647000983284
55,14000US17031491400,"Census Tract 4914, Cook, IL",3221,820,3788,2931,17031491400,28774,8098,1450,1009,441,-14.968321013727563,30.413793103448278
56,14000US17031500100,"Census Tract 5001, Cook, IL",3083,331,4581,3644,17031500100,41570,6154,1610,1449,161,-32.70028378083388,10.0
57,14000US17031500200,"Census Tract 5002, Cook, IL",2113,284,2351,2015,17031500200,34038,15480,1100,779,321,-10.123351765206296,29.18181818181818
58,14000US17031500300,"Census Tract 5003, Cook, IL",1417,147,1966,1666,17031500300,41587,6719,815,683,132,-27.924720244150556,16.19631901840491
59,14000US17031520200,"Census Tract 5202, Cook, IL",3572,614,4294,3817,17031520200,36228,6403,1652,1271,381,-16.8141592920354,23.062953995157383
60,14000US17031530200,"Census Tract 5302, Cook, IL",4296,692,7079,5152,17031530200,29539,7428,1743,1218,525,-39.313462353439746,30.120481927710845
61,14000US17031530502,"Census Tract 5305.02, Cook, IL",1419,193,2001,1667,17031530502,41696,12081,768,587,181,-29.08545727136432,23.567708333333336
62,14000US17031540101,"Census Tract 5401.01, Cook, IL",3881,529,5807,3373,17031540101,12660,3714,1515,936,579,-33.16686757361805,38.21782178217822
63,14000US17031611000,"Census Tract 6110, Cook, IL",918,166,1359,1098,17031611000,20813,2419,293,236,57,-32.450331125827816,19.453924914675767
64,14000US17031611100,"Census Tract 6111, Cook, IL",2307,300,3507,2922,17031611100,24972,3087,1020,800,220,-34.217279726261765,21.568627450980394
65,14000US17031611200,"Census Tract 6112, Cook, IL",2545,357,3395,2824,17031611200,27697,3841,939,794,145,-25.03681885125184,15.4419595314164
66,14000US17031611600,"Census Tract 6116, Cook, IL",1509,232,2123,1609,17031611600,36014,5699,737,573,164,-28.921337729627883,22.25237449118046
67,14000US17031611700,"Census Tract 6117, Cook, IL",1490,238,2836,1990,17031611700,25074,6695,652,503,149,-47.461212976022566,22.85276073619632
68,14000US17031611800,"Census Tract 6118, Cook, IL",2316,514,2585,2139,17031611800,31138,6215,1166,851,315,-10.406189555125724,27.01543739279588
69,14000US17031611900,"Census Tract 6119, Cook, IL",1798,336,2595,2045,17031611900,25231,5215,667,548,119,-30.712909441233137,17.841079460269864
70,14000US17031660301,"Census Tract 6603.01, Cook, IL",1537,204,2253,1785,17031660301,22057,4700,827,562,265,-31.779849090102086,32.04353083434099
71,14000US17031660600,"Census Tract 6606, Cook, IL",5883,670,7574,6333,17031660600,27426,3428,3021,2217,804,-22.326379720095062,26.613704071499505
72,14000US17031660700,"Census Tract 6607, Cook, IL",2041,272,2666,2366,17031660700,27344,12277,1004,703,301,-23.443360840210055,29.9800796812749
73,14000US17031660800,"Census Tract 6608, Cook, IL",5109,515,6624,5865,17031660800,37690,5069,2518,2109,409,-22.871376811594203,16.243050039714056
74,14000US17031660900,"Census Tract 6609, Cook, IL",4647,707,5443,4232,17031660900,29125,6616,2167,1448,719,-14.62428807642844,33.17951084448546
75,14000US17031670100,"Census Tract 6701, Cook, IL",1069,198,2032,1516,17031670100,35000,14615,565,407,158,-47.39173228346456,27.964601769911507
76,14000US17031670200,"Census Tract 6702, Cook, IL",953,231,2040,1380,17031670200,22625,7144,376,291,85,-53.28431372549019,22.606382978723406
77,14000US17031670400,"Census Tract 6704, Cook, IL",1680,276,2273,1956,17031670400,26289,5398,708,503,205,-26.08886933567972,28.954802259887007
78,14000US17031670500,"Census Tract 6705, Cook, IL",1143,185,1631,1321,17031670500,26087,3553,446,306,140,-29.920294297976703,31.390134529147986
79,14000US17031670600,"Census Tract 6706, Cook, IL",1068,214,2262,1650,17031670600,14848,10372,405,206,199,-52.785145888594165,49.135802469135804
80,14000US17031670700,"Census Tract 6707, Cook, IL",1140,226,1943,1491,17031670700,36058,8726,497,357,140,-41.327843540916106,28.169014084507044
81,14000US17031670800,"Census Tract 6708, Cook, IL",1333,274,2063,1635,17031670800,22083,5696,420,318,102,-35.38536112457586,24.285714285714285
82,14000US17031671100,"Census Tract 6711, Cook, IL",1088,283,1441,1259,17031671100,30577,9456,336,258,78,-24.496877168632896,23.214285714285715
83,14000US17031671200,"Census Tract 6712, Cook, IL",988,241,1621,1252,17031671200,20909,5865,417,221,196,-39.04996915484269,47.00239808153477
84,14000US17031671400,"Census Tract 6714, Cook, IL",1390,281,2385,2072,17031671400,24306,4399,585,351,234,-41.719077568134175,40.0
85,14000US17031671500,"Census Tract 6715, Cook, IL",2700,376,4369,3221,17031671500,28403,4215,1046,735,311,-38.20096131837949,29.732313575525815
86,14000US17031671600,"Census Tract 6716, Cook, IL",1917,348,3036,2495,17031671600,23203,9180,891,569,322,-36.85770750988142,36.13916947250281
87,14000US17031671800,"Census Tract 6718, Cook, IL",1292,277,1897,1422,17031671800,35962,16217,459,350,109,-31.892461781760673,23.74727668845316
88,14000US17031680500,"Census Tract 6805, Cook, IL",1375,271,2223,1481,17031680500,23354,3328,499,293,206,-38.14664867296446,41.28256513026052
89,14000US17031680600,"Census Tract 6806, Cook, IL",1594,339,1914,1431,17031680600,24464,5899,556,355,201,-16.718913270637408,36.15107913669065
90,14000US17031680900,"Census Tract 6809, Cook, IL",3143,444,4590,4019,17031680900,15612,4502,1088,795,293,-31.52505446623094,26.93014705882353
91,14000US17031681000,"Census Tract 6810, Cook, IL",2458,651,4328,3498,17031681000,15201,2510,898,678,220,-43.20702402957486,24.4988864142539
92,14000US17031681200,"Census Tract 6812, Cook, IL",2664,406,3813,2716,17031681200,23302,4296,1134,728,406,-30.13375295043273,35.80246913580247
93,14000US17031681300,"Census Tract 6813, Cook, IL",2325,384,3563,2936,17031681300,25735,7382,879,549,330,-34.74600056132473,37.54266211604095
94,14000US17031690300,"Census Tract 6903, Cook, IL",2393,318,2765,2191,17031690300,19904,11962,815,660,155,-13.453887884267631,19.018404907975462
95,14000US17031691000,"Census Tract 6910, Cook, IL",2444,404,2969,2492,17031691000,49297,17574,1421,1175,246,-17.682721455035367,17.311752287121745
96,14000US17031691100,"Census Tract 6911, Cook, IL",3304,572,3916,3266,17031691100,19125,6524,1274,902,372,-15.628192032686414,29.199372056514918
97,14000US17031691300,"Census Tract 6913, Cook, IL",2721,454,2606,2448,17031691300,40658,22254,1390,914,476,4.412893323100537,34.24460431654676
98,14000US17031691400,"Census Tract 6914, Cook, IL",2807,358,4196,3611,17031691400,28813,6471,1407,1233,174,-33.102955195424215,12.366737739872068
99,14000US17031691500,"Census Tract 6915, Cook, IL",2013,262,2373,1930,17031691500,20027,3852,842,556,286,-15.170670037926676,33.966745843230406
100,14000US17031710100,"Census Tract 7101, Cook, IL",1188,249,1460,1275,17031710100,15524,4409,560,331,229,-18.63013698630137,40.89285714285714
101,14000US17031710200,"Census Tract 7102, Cook, IL",4925,497,5801,5049,17031710200,26934,3095,2265,1669,596,-15.100844681951386,26.31346578366446
102,14000US17031710300,"Census Tract 7103, Cook, IL",1444,233,1627,1414,17031710300,33281,10191,614,390,224,-11.247695144437616,36.48208469055375
103,14000US17031710500,"Census Tract 7105, Cook, IL",4268,534,4965,4123,17031710500,30793,7453,2119,1693,426,-14.038267875125882,20.10382255781029
104,14000US17031711000,"Census Tract 7110, Cook, IL",3098,492,4010,3475,17031711000,33664,4372,1334,1076,258,-22.743142144638405,19.34032983508246
105,14000US17031711400,"Census Tract 7114, Cook, IL",2424,258,2969,2654,17031711400,37434,6542,969,792,177,-18.356348939036714,18.26625386996904
106,14000US17031750600,"Census Tract 7506, Cook, IL",3426,543,4485,3681,17031750600,34470,10485,1289,1053,236,-23.612040133779264,18.30876648564779
107,14000US17031834000,"Census Tract 8340, Cook, IL",2956,438,4018,3632,17031834000,34864,10981,1419,1154,265,-26.43106022896964,18.675123326286116
108,14000US17031834200,"Census Tract 8342, Cook, IL",4310,799,5996,4944,17031834200,33835,9121,2020,1711,309,-28.118745830553703,15.297029702970297
109,14000US17031834300,"Census Tract 8343, Cook, IL",6384,782,7106,6570,17031834300,34140,12164,2520,2064,456,-10.16042780748663,18.095238095238095
110,14000US17031834400,"Census Tract 8344, Cook, IL",4487,566,3458,3772,17031834400,38233,5681,1997,1734,263,29.75708502024291,13.169754631947923
111,14000US17031834500,"Census Tract 8345, Cook, IL",1273,229,1717,1475,17031834500,31483,6443,495,356,139,-25.85905649388468,28.08080808080808
112,14000US17031834600,"Census Tract 8346, Cook, IL",2535,585,5129,3778,17031834600,21196,5819,1096,692,404,-50.57516085006824,36.86131386861314
113,14000US17031834700,"Census Tract 8347, Cook, IL",1748,366,2915,2078,17031834700,21802,4224,617,439,178,-40.03430531732419,28.84927066450567
114,14000US17031834800,"Census Tract 8348, Cook, IL",1566,227,2894,1953,17031834800,20559,3623,605,380,225,-45.888044229440226,37.1900826446281
115,14000US17031834900,"Census Tract 8349, Cook, IL",1859,269,2906,2272,17031834900,18401,4735,617,437,180,-36.028905712319336,29.17341977309562
116,14000US17031835000,"Census Tract 8350, Cook, IL",5579,614,6789,5778,17031835000,26926,2541,2523,1908,615,-17.822948887906907,24.37574316290131
117,14000US17031835500,"Census Tract 8355, Cook, IL",1444,181,2006,1677,17031835500,20517,4028,560,414,146,-28.015952143569294,26.071428571428573
118,14000US17031835900,"Census Tract 8359, Cook, IL",3170,339,3022,3271,17031835900,18856,3463,1435,1039,396,4.8974189278623435,27.595818815331008
119,14000US17031836000,"Census Tract 8360, Cook, IL",2685,258,2737,2177,17031836000,60368,9004,1497,1193,304,-1.8998903909389842,20.307281229124914
120,14000US17031836100,"Census Tract 8361, Cook, IL",2163,365,2852,1761,17031836100,25462,6428,923,722,201,-24.158485273492285,21.776814734561214
121,14000US17031836900,"Census Tract 8369, Cook, IL",1422,307,1384,1442,17031836900,26458,11075,497,385,112,2.745664739884393,22.535211267605636
122,14000US17031837000,"Census Tract 8370, Cook, IL",2028,330,2270,2085,17031837000,29911,12751,701,585,116,-10.66079295154185,16.547788873038517
123,14000US17031838600,"Census Tract 8386, Cook, IL",1467,267,1299,1598,17031838600,14850,4662,326,264,62,12.933025404157044,19.018404907975462
124,14000US17031838700,"Census Tract 8387, Cook, IL",4631,723,4921,4484,17031838700,22742,4568,1699,1261,438,-5.89311115626905,25.779870512065923
125,14000US17031838800,"Census Tract 8388, Cook, IL",3526,517,3695,3233,17031838800,19155,5558,1205,914,291,-4.573748308525034,24.149377593360995
126,14000US17031841000,"Census Tract 8410, Cook, IL",878,104,2052,849,17031841000,63125,24968,534,507,27,-57.21247563352827,5.056179775280898
127,14000US17031841400,"Census Tract 8414, Cook, IL",1189,248,1732,1559,17031841400,29338,9651,558,480,78,-31.351039260969976,13.978494623655912
128,14000US17031841500,"Census Tract 8415, Cook, IL",2932,351,3635,2962,17031841500,24858,4137,1149,915,234,-19.339752407152684,20.365535248041773
129,14000US17031841800,"Census Tract 8418, Cook, IL",2756,346,3201,2505,17031841800,36250,10636,1107,823,284,-13.901905654482974,25.65492321589883
130,14000US17031842100,"Census Tract 8421, Cook, IL",7664,1179,7637,6731,17031842100,33945,8000,3022,2597,425,0.35354196674086685,14.063534083388484
131,14000US17031842900,"Census Tract 8429, Cook, IL",2050,239,4188,2341,17031842900,21325,3702,902,833,69,-51.05062082139447,7.6496674057649665
132,14000US17031843000,"Census Tract 8430, Cook, IL",2689,292,2766,2378,17031843000,18036,5594,905,759,146,-2.7838033261026753,16.132596685082873
133,14000US17031843300,"Census Tract 8433, Cook, IL",2144,342,1904,1228,17031843300,47829,17047,892,757,135,12.605042016806722,15.134529147982063
134,14000US17031843600,"Census Tract 8436, Cook, IL",2822,383,3101,2807,17031843600,35714,4670,1238,932,306,-8.997097710415995,24.717285945072696
