,Associate's degree,Bachelor's degree,Graduate or professional degree,High school diploma or GED,Less than 9th grade,Some college,Some high school
71500,0.31%,49.6%,28.2%,1.87%,0.0,4.4%,0.26%
71600,0.92%,30.9%,32.5%,3.09%,0.0,3.48%,1.39%
71700,1.13%,33.9%,28.2%,3.93%,0.0,6.87%,0.0%
71800,0.0%,45.4%,26.0%,5.9%,0.0139,3.63%,1.06%
80100,1.72%,31.6%,29.3%,0.0%,0.0,4.98%,1.11%
80201,3.02%,30.3%,24.2%,4.36%,0.0,7.03%,0.0%
80202,1.47%,34.0%,35.6%,0.54%,0.0,1.95%,0.67%
80300,2.42%,40.3%,39.0%,1.35%,0.0037,5.7%,0.0%
80400,8.66%,24.7%,12.7%,9.38%,0.033,11.1%,4.28%
81000,1.98%,22.6%,16.6%,4.3%,0.0028,10.5%,1.92%
81100,5.79%,39.1%,20.1%,2.02%,0.0117,9.28%,2.19%
81201,1.61%,25.0%,21.0%,2.41%,0.0,6.3%,0.0%
81202,3.49%,25.1%,23.2%,2.23%,0.0,5.06%,0.61%
81300,2.96%,19.1%,27.4%,1.57%,0.0026,2.66%,0.0%
81401,2.08%,18.0%,29.1%,2.69%,0.0,6.59%,0.0%
81402,3.83%,30.6%,34.6%,0.0%,0.0,6.83%,0.41%
81403,2.26%,33.8%,38.1%,5.12%,0.0,2.45%,0.0%
81500,0.45%,36.9%,32.6%,4.5%,0.0,3.11%,0.0%
81600,1.46%,35.3%,35.1%,1.57%,0.0,5.27%,0.41%
81700,0.99%,42.2%,36.3%,1.78%,0.0048,5.03%,0.74%
81800,1.76%,50.1%,32.0%,2.49%,0.0,4.64%,0.0%
81900,4.61%,35.9%,19.7%,13.4%,0.0053,10.5%,1.84%
90100,4.61%,25.3%,11.0%,12.3%,0.015000000000000001,14.7%,2.83%
90200,6.26%,21.8%,18.9%,13.7%,0.007,13.2%,0.43%
90300,3.06%,27.6%,15.3%,11.1%,0.0,16.4%,0.46%
100100,5.42%,21.4%,9.27%,14.2%,0.0315,14.6%,0.97%
100200,6.11%,17.8%,8.88%,16.3%,0.0121,17.9%,3.07%
100300,8.58%,17.3%,8.72%,10.8%,0.0092,12.1%,1.31%
100400,8.96%,23.2%,11.7%,10.5%,0.0171,18.4%,0.9%
100500,7.2%,19.3%,11.8%,12.8%,0.0114,10.8%,2.41%
100600,6.65%,21.1%,8.12%,17.1%,0.015099999999999999,15.3%,1.82%
100700,8.71%,21.0%,10.2%,16.9%,0.0087,14.4%,0.81%
110100,3.7%,19.6%,10.8%,11.1%,0.026800000000000004,18.0%,3.5%
110200,8.46%,17.0%,12.6%,15.7%,0.0181,10.1%,0.08%
110300,5.36%,16.0%,5.64%,17.3%,0.038900000000000004,19.7%,2.44%
110400,10.1%,16.8%,10.7%,15.9%,0.031099999999999996,10.0%,3.03%
110501,5.68%,21.4%,11.9%,14.4%,0.0235,15.6%,4.8%
110502,7.9%,22.1%,9.22%,18.5%,0.0091,15.0%,3.62%
120100,0.94%,30.0%,19.6%,6.89%,0.0035,11.3%,0.28%
120200,3.48%,22.0%,20.8%,9.27%,0.0125,7.23%,0.54%
120300,3.43%,31.4%,17.9%,8.13%,0.008700000000000001,7.2%,0.78%
120400,5.89%,18.7%,12.9%,11.9%,0.0343,17.5%,3.9%
130100,0.61%,15.9%,8.58%,8.2%,0.0126,8.69%,1.39%
130200,3.86%,30.8%,14.1%,7.63%,0.0208,12.0%,2.0%
130300,3.0%,20.5%,9.26%,12.8%,0.06620000000000001,13.4%,5.03%
140100,4.41%,15.9%,6.49%,13.6%,0.16519999999999999,11.6%,6.83%
140200,3.78%,12.3%,7.6%,14.6%,0.111,8.51%,2.88%
140301,2.33%,15.0%,6.29%,15.3%,0.15430000000000002,11.5%,9.24%
140302,5.88%,18.3%,15.7%,14.2%,0.0619,8.97%,2.05%
140400,7.73%,14.9%,9.38%,20.0%,0.04889999999999999,11.1%,3.85%
140500,4.88%,17.7%,7.97%,19.6%,0.0694,11.9%,2.93%
140601,3.27%,10.5%,3.9%,20.5%,0.1603,14.2%,4.72%
140602,3.43%,14.6%,4.86%,22.6%,0.0772,12.2%,5.91%
140701,4.48%,19.3%,10.1%,20.6%,0.1335,13.0%,3.56%
140702,2.67%,15.9%,6.67%,20.0%,0.1528,9.47%,8.03%
140800,3.48%,24.1%,15.4%,15.2%,0.0698,10.7%,6.02%
150200,7.67%,20.2%,9.74%,16.2%,0.0299,19.0%,3.47%
150300,5.32%,17.7%,13.5%,17.3%,0.013999999999999999,9.85%,2.22%
150401,5.62%,15.7%,5.62%,25.6%,0.0308,13.1%,4.43%
150402,8.37%,18.1%,6.29%,20.0%,0.050699999999999995,12.0%,2.86%
150501,11.0%,18.4%,6.53%,18.9%,0.028499999999999998,12.4%,1.42%
150502,8.19%,14.3%,9.5%,19.2%,0.0248,19.2%,2.82%
150600,5.23%,13.1%,6.03%,23.5%,0.0343,17.5%,2.2%
150700,5.47%,12.8%,9.08%,17.8%,0.0204,16.3%,4.37%
150800,4.21%,13.5%,8.46%,15.7%,0.1206,13.6%,9.78%
151001,8.06%,12.4%,3.75%,19.5%,0.08779999999999999,14.3%,8.11%
151002,5.56%,10.8%,3.13%,18.6%,0.09519999999999999,17.4%,10.5%
151100,6.06%,10.1%,3.68%,22.3%,0.0605,13.2%,11.8%
151200,3.73%,13.2%,3.49%,25.1%,0.027500000000000004,15.5%,5.76%
160100,5.97%,23.4%,9.09%,20.9%,0.0322,16.2%,3.17%
160200,3.37%,22.3%,20.6%,9.88%,0.004,15.9%,2.77%
160300,5.81%,26.6%,11.7%,16.2%,0.0187,15.7%,0.88%
160400,5.11%,20.7%,8.64%,17.4%,0.0653,15.8%,5.03%
160501,4.31%,17.3%,6.7%,20.0%,0.1071,10.6%,4.77%
160502,3.09%,16.2%,7.15%,21.0%,0.0888,13.8%,4.83%
160601,5.37%,24.6%,14.7%,7.66%,0.0233,15.4%,8.36%
160602,4.81%,23.5%,10.2%,13.6%,0.07999999999999999,15.3%,4.56%
160700,4.15%,22.9%,10.9%,16.8%,0.0819,12.7%,3.04%
160800,5.38%,19.6%,6.8%,16.3%,0.0659,16.2%,4.19%
160900,9.17%,24.6%,17.3%,14.1%,0.0,11.0%,1.08%
161000,3.93%,23.3%,16.0%,12.4%,0.0045,19.1%,2.9%
161100,3.43%,29.7%,23.7%,9.82%,0.0147,11.9%,1.89%
161200,1.69%,19.2%,7.33%,23.5%,0.0944,12.0%,3.95%
161300,6.98%,13.8%,4.61%,27.1%,0.0925,9.52%,4.16%
170100,3.01%,9.9%,7.73%,14.5%,0.0082,16.1%,2.12%
170200,5.3%,11.6%,6.66%,19.8%,0.0451,18.5%,3.04%
170300,9.46%,13.9%,6.6%,24.9%,0.0329,10.2%,3.22%
170400,4.89%,15.4%,4.06%,23.9%,0.0148,17.1%,5.12%
170500,9.05%,15.6%,3.66%,19.6%,0.0152,19.7%,1.63%
170600,8.43%,12.7%,4.2%,18.9%,0.0038,17.8%,5.92%
170700,6.3%,14.6%,5.34%,21.7%,0.026299999999999997,17.6%,3.28%
170800,7.29%,12.0%,5.46%,28.5%,0.0349,16.8%,3.88%
170900,2.56%,10.2%,7.48%,22.4%,0.016800000000000002,16.8%,9.75%
171000,6.73%,11.2%,4.76%,17.3%,0.0155,22.0%,5.34%
171100,6.3%,15.0%,7.03%,19.4%,0.0265,16.6%,4.58%
180100,7.14%,8.38%,6.34%,24.4%,0.0284,16.7%,8.74%
190100,3.82%,7.48%,3.06%,21.9%,0.15980000000000003,13.1%,7.38%
190200,5.21%,8.79%,3.72%,17.2%,0.147,11.0%,11.6%
190300,3.09%,7.95%,2.54%,25.0%,0.0974,13.4%,9.1%
190401,6.66%,13.8%,4.79%,23.4%,0.0605,9.87%,5.41%
190402,4.23%,9.22%,3.0%,21.5%,0.11449999999999999,14.2%,9.82%
190601,6.66%,7.21%,4.74%,26.4%,0.11430000000000001,11.3%,8.0%
190602,2.66%,5.72%,2.15%,24.3%,0.1585,11.5%,8.52%
190701,6.61%,6.84%,3.33%,29.9%,0.09079999999999999,13.2%,10.3%
190702,3.59%,5.63%,1.65%,18.4%,0.20590000000000003,9.83%,13.0%
190800,3.75%,6.5%,4.08%,20.2%,0.1797,12.2%,10.4%
190900,3.72%,4.2%,2.58%,25.0%,0.0951,10.4%,11.1%
191000,7.39%,6.07%,0.0%,20.7%,0.1831,11.8%,9.26%
191100,2.94%,3.48%,1.81%,26.1%,0.1899,10.3%,10.1%
191200,2.46%,3.12%,1.04%,16.3%,0.2584,10.3%,16.5%
191301,3.0%,8.16%,1.12%,20.9%,0.0854,8.48%,21.7%
191302,3.11%,4.5%,1.58%,22.1%,0.13949999999999999,14.2%,15.2%
200100,3.21%,11.2%,6.32%,20.5%,0.1331,13.0%,6.9%
200200,3.84%,5.6%,3.12%,24.4%,0.1142,14.5%,8.0%
200300,5.22%,4.15%,2.74%,18.6%,0.15360000000000001,13.0%,11.0%
200401,4.08%,4.56%,2.35%,13.2%,0.2173,12.5%,21.3%
