,Associate's degree,Bachelor's degree,Graduate or professional degree,High school diploma or GED,Less than 9th grade,Some college,Some high school
834000,10.9%,7.21%,3.05%,19.6%,0.0271,18.8%,7.9%
834200,9.05%,8.59%,9.25%,10.4%,0.0046,24.6%,3.41%
834300,5.86%,11.5%,5.9%,16.0%,0.025,17.9%,4.85%
834400,10.1%,10.9%,11.6%,11.0%,0.0019,22.9%,5.55%
834500,6.88%,7.69%,8.64%,22.9%,0.0058,22.4%,3.27%
834600,3.76%,1.83%,0.84%,35.0%,0.0293,18.1%,7.31%
834700,3.68%,3.5%,2.16%,22.9%,0.039999999999999994,11.9%,15.7%
834800,3.33%,5.91%,1.22%,25.9%,0.0129,15.8%,12.8%
834900,1.28%,5.18%,0.92%,26.1%,0.0092,19.5%,7.82%
835000,4.37%,3.04%,0.88%,30.8%,0.0508,13.5%,8.16%
835100,2.17%,2.55%,1.76%,27.8%,0.16620000000000001,13.8%,9.51%
835200,4.39%,7.46%,3.28%,28.6%,0.11080000000000001,11.6%,6.96%
835500,8.24%,5.39%,3.57%,13.7%,0.0166,13.6%,11.5%
835600,2.16%,6.9%,3.11%,25.1%,0.0162,7.3%,7.84%
835700,8.93%,13.9%,0.0%,39.1%,0.0,32.0%,0.0%
835800,1.71%,17.3%,17.6%,10.7%,0.0108,12.5%,15.0%
835900,2.52%,6.46%,6.1%,18.7%,0.0033,20.4%,8.97%
836000,8.75%,12.8%,13.9%,11.4%,0.0,24.1%,3.66%
836100,2.12%,9.38%,4.39%,22.7%,0.0144,24.9%,9.73%
836200,0.0%,2.34%,8.38%,0.07%,0.0,0.74%,0.0%
836300,5.66%,13.2%,19.4%,7.24%,0.0,12.5%,1.08%
836400,6.5%,15.3%,16.4%,13.2%,0.0088,15.8%,2.85%
836500,5.45%,8.39%,3.63%,21.1%,0.0047,18.1%,10.9%
836600,6.57%,18.5%,3.75%,17.6%,0.038,14.9%,5.66%
836700,3.49%,9.56%,1.48%,23.0%,0.0245,23.8%,10.5%
836800,4.07%,4.19%,2.81%,26.8%,0.0175,10.4%,16.7%
836900,2.92%,8.12%,3.47%,29.4%,0.0,13.7%,13.0%
837000,6.18%,11.4%,8.06%,24.1%,0.0039,21.5%,5.02%
837100,4.4%,11.3%,4.34%,11.6%,0.0131,18.2%,5.16%
837300,5.43%,7.74%,4.48%,25.5%,0.0088,21.3%,10.1%
837400,6.67%,7.53%,2.52%,22.2%,0.0315,15.3%,15.0%
837800,1.98%,23.1%,9.58%,15.9%,0.0077,14.2%,10.2%
838000,8.01%,17.8%,8.61%,15.6%,0.0037,12.0%,5.54%
838100,4.85%,15.3%,16.2%,10.2%,0.0114,11.5%,9.75%
838200,0.41%,18.7%,14.1%,3.23%,0.0124,4.4%,0.29%
838300,4.44%,27.7%,11.4%,18.5%,0.034699999999999995,8.71%,3.24%
838600,8.01%,0.41%,0.0%,11.5%,0.0267,20.9%,17.8%
838700,5.31%,4.12%,1.28%,18.0%,0.0247,17.9%,17.8%
838800,2.21%,3.02%,2.64%,25.4%,0.0943,12.8%,6.22%
839000,3.01%,30.9%,29.6%,1.45%,0.0039,7.33%,0.0%
839100,2.54%,28.8%,23.3%,6.34%,0.0188,5.09%,3.21%
839200,4.84%,15.7%,20.5%,7.58%,0.0,14.8%,6.52%
839500,3.05%,18.3%,12.6%,3.36%,0.0173,6.57%,3.6%
839600,1.17%,23.7%,8.33%,9.42%,0.0022,15.0%,2.26%
839700,4.7%,24.7%,12.7%,12.9%,0.055499999999999994,12.4%,6.59%
839800,1.82%,16.6%,15.4%,13.6%,0.044,15.5%,3.55%
839900,6.12%,18.3%,14.0%,18.2%,0.024300000000000002,14.4%,5.98%
840000,6.35%,21.3%,10.2%,20.5%,0.0346,14.2%,3.91%
840100,4.66%,14.0%,5.59%,29.3%,0.07999999999999999,9.92%,6.1%
840200,3.2%,17.5%,8.29%,18.1%,0.0958,7.5%,4.34%
840300,3.45%,9.34%,3.79%,24.9%,0.10830000000000001,13.4%,9.2%
840400,5.88%,17.8%,9.37%,16.2%,0.1302,8.54%,4.6%
840700,1.03%,6.25%,3.41%,12.8%,0.2509,14.4%,9.07%
840800,3.16%,4.18%,0.0%,26.0%,0.197,11.6%,10.8%
841000,6.82%,22.5%,31.8%,8.35%,0.0013,11.7%,0.0%
841100,3.92%,12.8%,7.51%,20.6%,0.0982,4.14%,4.3%
841200,2.75%,15.2%,8.38%,20.3%,0.16319999999999998,9.25%,7.55%
841300,6.14%,16.9%,4.86%,14.1%,0.1184,9.14%,9.52%
841400,5.43%,10.9%,0.24%,24.8%,0.025299999999999996,23.0%,7.6%
841500,6.13%,5.51%,2.58%,20.9%,0.0349,23.0%,6.7%
841600,7.63%,7.43%,0.82%,29.5%,0.0,9.49%,11.3%
841700,1.8%,4.67%,2.7%,19.2%,0.05729999999999999,9.59%,19.2%
841800,9.79%,4.81%,5.24%,18.8%,0.0144,22.2%,4.65%
841900,1.94%,18.7%,18.0%,4.11%,0.0037,3.65%,2.08%
842000,2.18%,7.05%,5.89%,6.46%,0.0043,5.56%,1.34%
842100,2.73%,6.14%,4.31%,21.1%,0.0784,20.3%,7.48%
842200,1.71%,43.4%,18.2%,7.01%,0.006500000000000001,4.05%,1.82%
842300,2.43%,49.3%,21.7%,3.34%,0.0039,9.87%,1.47%
842400,4.83%,16.6%,5.93%,16.8%,0.0,19.0%,6.45%
842500,2.91%,5.47%,0.8%,26.0%,0.0,30.0%,11.5%
842600,4.34%,10.5%,4.57%,28.7%,0.0404,14.3%,9.02%
842800,0.5%,3.62%,0.73%,25.1%,0.2671,13.2%,9.99%
842900,4.56%,8.86%,4.49%,9.55%,0.0106,18.5%,15.3%
843000,6.6%,4.72%,0.77%,16.0%,0.0625,19.1%,8.32%
843100,4.07%,7.38%,5.01%,25.6%,0.011,19.5%,7.3%
843200,2.15%,16.5%,8.96%,14.3%,0.08270000000000001,11.9%,15.3%
843300,2.12%,6.31%,4.35%,20.9%,0.0618,18.9%,14.4%
843400,4.15%,3.73%,2.13%,20.2%,0.05,24.8%,3.09%
843500,3.31%,1.11%,0.27%,24.5%,0.0707,7.0%,20.1%
843600,5.24%,17.8%,10.8%,12.9%,0.0,21.6%,1.45%
843700,7.92%,27.1%,22.3%,10.9%,0.0437,9.17%,2.85%
843800,7.79%,4.41%,1.2%,41.8%,0.0129,20.3%,7.39%
843900,4.51%,18.5%,11.4%,11.7%,0.0138,14.6%,7.14%
840000.1,3.69%,7.97%,3.25%,24.8%,0.1421,9.52%,6.28%
840801,3.64%,6.47%,3.08%,23.4%,0.0347,11.1%,7.99%
