geoid,name,B01003001,"B01003001, Error"
14000US17031100700,"Census Tract 1007, Cook, IL",4731,365
14000US17031110100,"Census Tract 1101, Cook, IL",5229,498
14000US17031110200,"Census Tract 1102, Cook, IL",3235,346
14000US17031110300,"Census Tract 1103, Cook, IL",5242,452
14000US17031110400,"Census Tract 1104, Cook, IL",4367,290
14000US17031110501,"Census Tract 1105.01, Cook, IL",5325,426
14000US17031110502,"Census Tract 1105.02, Cook, IL",3410,382
14000US17031120100,"Census Tract 1201, Cook, IL",3826,293
14000US17031120200,"Census Tract 1202, Cook, IL",4793,328
14000US17031120300,"Census Tract 1203, Cook, IL",6665,434
14000US17031120400,"Census Tract 1204, Cook, IL",3713,275
14000US17031130100,"Census Tract 1301, Cook, IL",5327,520
14000US17031130200,"Census Tract 1302, Cook, IL",1565,129
14000US17031130300,"Census Tract 1303, Cook, IL",5532,327
14000US17031140100,"Census Tract 1401, Cook, IL",3613,558
14000US17031140200,"Census Tract 1402, Cook, IL",6228,1080
14000US17031140301,"Census Tract 1403.01, Cook, IL",2900,422
14000US17031140302,"Census Tract 1403.02, Cook, IL",4254,438
14000US17031140400,"Census Tract 1404, Cook, IL",6884,715
14000US17031140500,"Census Tract 1405, Cook, IL",4237,441
14000US17031140601,"Census Tract 1406.01, Cook, IL",2760,235
14000US17031140602,"Census Tract 1406.02, Cook, IL",5251,648
14000US17031140701,"Census Tract 1407.01, Cook, IL",2911,244
14000US17031140702,"Census Tract 1407.02, Cook, IL",6154,510
14000US17031140800,"Census Tract 1408, Cook, IL",6800,599
14000US17031150200,"Census Tract 1502, Cook, IL",7701,638
14000US17031150300,"Census Tract 1503, Cook, IL",8150,672
14000US17031150401,"Census Tract 1504.01, Cook, IL",5266,461
14000US17031150402,"Census Tract 1504.02, Cook, IL",3668,393
14000US17031150501,"Census Tract 1505.01, Cook, IL",4050,386
14000US17031150502,"Census Tract 1505.02, Cook, IL",4243,491
14000US17031150600,"Census Tract 1506, Cook, IL",3899,487
14000US17031150700,"Census Tract 1507, Cook, IL",3994,343
14000US17031150800,"Census Tract 1508, Cook, IL",4914,401
14000US17031151001,"Census Tract 1510.01, Cook, IL",2404,288
14000US17031151002,"Census Tract 1510.02, Cook, IL",4360,502
14000US17031151100,"Census Tract 1511, Cook, IL",5612,482
14000US17031151200,"Census Tract 1512, Cook, IL",3687,398
14000US17031160100,"Census Tract 1601, Cook, IL",2688,346
14000US17031160200,"Census Tract 1602, Cook, IL",3093,358
14000US17031160300,"Census Tract 1603, Cook, IL",3834,318
14000US17031160400,"Census Tract 1604, Cook, IL",4708,422
14000US17031160501,"Census Tract 1605.01, Cook, IL",4237,487
14000US17031160502,"Census Tract 1605.02, Cook, IL",3905,342
14000US17031160601,"Census Tract 1606.01, Cook, IL",3674,405
14000US17031160602,"Census Tract 1606.02, Cook, IL",3679,348
14000US17031160700,"Census Tract 1607, Cook, IL",6533,774
14000US17031160800,"Census Tract 1608, Cook, IL",5164,573
14000US17031160900,"Census Tract 1609, Cook, IL",2470,297
14000US17031161000,"Census Tract 1610, Cook, IL",2027,238
14000US17031161100,"Census Tract 1611, Cook, IL",1935,156
14000US17031161200,"Census Tract 1612, Cook, IL",3021,280
14000US17031161300,"Census Tract 1613, Cook, IL",3638,495
14000US17031170100,"Census Tract 1701, Cook, IL",1805,257
14000US17031170200,"Census Tract 1702, Cook, IL",4178,437
14000US17031170300,"Census Tract 1703, Cook, IL",5496,478
14000US17031170400,"Census Tract 1704, Cook, IL",3765,301
14000US17031170500,"Census Tract 1705, Cook, IL",5504,373
14000US17031170600,"Census Tract 1706, Cook, IL",2631,217
14000US17031170700,"Census Tract 1707, Cook, IL",2941,311
14000US17031170800,"Census Tract 1708, Cook, IL",4060,360
14000US17031170900,"Census Tract 1709, Cook, IL",1868,238
14000US17031171000,"Census Tract 1710, Cook, IL",7597,665
14000US17031171100,"Census Tract 1711, Cook, IL",3844,305
14000US17031180100,"Census Tract 1801, Cook, IL",6210,617
14000US17031190100,"Census Tract 1901, Cook, IL",2534,225
14000US17031190200,"Census Tract 1902, Cook, IL",5525,494
14000US17031190300,"Census Tract 1903, Cook, IL",5302,466
14000US17031190401,"Census Tract 1904.01, Cook, IL",3983,371
14000US17031190402,"Census Tract 1904.02, Cook, IL",5434,502
14000US17031190601,"Census Tract 1906.01, Cook, IL",5126,589
14000US17031190602,"Census Tract 1906.02, Cook, IL",5867,627
14000US17031190701,"Census Tract 1907.01, Cook, IL",2861,280
14000US17031190702,"Census Tract 1907.02, Cook, IL",5177,517
14000US17031190800,"Census Tract 1908, Cook, IL",7222,682
14000US17031190900,"Census Tract 1909, Cook, IL",2226,308
14000US17031191000,"Census Tract 1910, Cook, IL",2653,298
14000US17031191100,"Census Tract 1911, Cook, IL",7618,819
14000US17031191200,"Census Tract 1912, Cook, IL",3832,437
14000US17031191301,"Census Tract 1913.01, Cook, IL",5686,603
14000US17031191302,"Census Tract 1913.02, Cook, IL",5370,661
14000US17031200100,"Census Tract 2001, Cook, IL",4275,523
14000US17031200200,"Census Tract 2002, Cook, IL",4805,439
14000US17031200300,"Census Tract 2003, Cook, IL",2130,284
14000US17031200401,"Census Tract 2004.01, Cook, IL",3642,341
14000US17031200402,"Census Tract 2004.02, Cook, IL",4241,708
14000US17031210100,"Census Tract 2101, Cook, IL",3517,372
14000US17031210400,"Census Tract 2104, Cook, IL",2780,269
14000US17031210501,"Census Tract 2105.01, Cook, IL",3500,378
14000US17031210502,"Census Tract 2105.02, Cook, IL",4653,543
14000US17031210601,"Census Tract 2106.01, Cook, IL",2725,375
14000US17031210602,"Census Tract 2106.02, Cook, IL",4032,466
14000US17031210700,"Census Tract 2107, Cook, IL",4253,415
